,x,y,z,activity
0,0.022856302141855973,-0.39196597168919367,0.5583413708043785,Walking
2,-0.48870778393687986,2.21805071604777,0.015129529406932712,Walking
4,-0.3130191098105812,-0.022042401307539917,-0.7174589618940457,Walking
6,-0.09599192497318355,0.17525031039040714,-0.9118191895530016,Walking
8,0.8341245451605341,0.8575540327749527,-0.9417207658535593,Walking
10,-0.22517477047114012,-0.7166765975386392,-0.26893540885902695,Walking
12,-0.12182849179648321,-0.12479876421850886,1.6547323188781347,Walking
14,-0.5868867629046269,-1.4195315019732648,-1.4301131421733302,Walking
16,0.2553854301082889,-0.16179109107930323,-0.6327378546550027,Walking
18,0.7927860640412271,1.7330403089085942,-0.2240830444081903,Walking
20,1.361190776958264,-0.5563763334109706,-0.5031643793061892,Walking
22,0.4310740981644765,2.7647156048356925,3.937218943927319,Walking
24,0.2553854301082889,0.7178050412294782,-0.4483448322683948,Walking
26,0.41557217248701067,0.02317054322466755,-0.5878855011809677,Walking
28,-0.7315715416676882,2.1605075994427203,-1.863685870468731,Walking
30,-0.8039139120801218,-2.751256726528882,-1.4450638754396006,Walking
32,-1.883882513797283,2.0947432616188344,-0.029722816749234358,Walking
34,-0.2406767113238838,0.08071456515085185,-0.27890259730027894,Walking
36,0.7772841763019558,1.585070699691706,-0.4483448322683948,Walking
38,1.7074007033429657,-0.7742203176911115,-0.8270980749960908,Walking
40,1.5317120732249723,2.9373470670668214,4.948888740854826,Walking
42,-1.0519450264251318,-0.3220911741427448,-0.04467362319418283,Walking
44,1.361190776958264,0.6356000716101875,-0.19916508245239503,Walking
46,-0.2561786559704469,0.9726414730798979,-0.34867292736584476,Walking
48,-1.1242874347757599,0.2780069750750872,1.709552040081183,Walking
50,1.5627158107653205,0.4506381355325051,-0.772278522104002,Walking
52,-0.008147571975992482,0.3930941136063213,0.00017872296198431854,Walking
54,-2.142248219968474,2.7277241832960315,0.3091616048890696,Walking
56,-1.3309799921250736,-2.4964204063347357,-0.6576558275875997,Walking
58,1.2578444793145103,-2.1717096899531767,-2.2175211717306618,Walking
